"","run_id","start","end","tot_q_m3","duration_hrs","intensity_m3_hr","filter_para","sf_thresh","storm_id"
"144","FC = 0.98, SFT = 0.12","2015-06-19","2015-06-20 18:00:00",94373.4127755964,42.25,2233.69024320938,"0.98","0.12","storm_15"
"145","FC = 0.98, SFT = 0.12","2015-06-21 08:45:00","2015-06-26 22:45:00",826735.573528505,134.25,6158.17931864808,"0.98","0.12","storm_16"
"146","FC = 0.98, SFT = 0.12","2015-06-28 11:45:00","2015-06-30 04:30:00",41294.7808884941,41,1007.18977776815,"0.98","0.12","storm_17"
"147","FC = 0.98, SFT = 0.12","2015-07-01 13:15:00","2015-07-04 07:15:00",228362.315398681,61.75,3698.17514815678,"0.98","0.12","storm_18"
"148","FC = 0.98, SFT = 0.12","2015-07-04 11:45:00","2015-07-06 00:45:00",20452.1820851096,37.25,549.051868056634,"0.98","0.12","storm_19"
"149","FC = 0.98, SFT = 0.12","2015-07-08 06:45:00","2015-07-10 15:30:00",75540.0673427639,57,1325.26433934673,"0.98","0.12","storm_20"
"150","FC = 0.98, SFT = 0.12","2015-07-10 17:30:00","2015-07-10 22:30:00",2336.4814585509,5.25,445.04408734303,"0.98","0.12","storm_21"
"151","FC = 0.98, SFT = 0.12","2015-07-18 07:45:00","2015-07-21 07:15:00",307248.496517202,71.75,4282.20901069271,"0.98","0.12","storm_22"
"152","FC = 0.98, SFT = 0.12","2015-07-21 15:30:00","2015-07-24 03:45:00",247190.550137206,60.5,4085.79421714391,"0.98","0.12","storm_23"
"153","FC = 0.98, SFT = 0.12","2015-07-24 12:30:00","2015-07-25 05:15:00",9497.17900031875,17,558.657588254044,"0.98","0.12","storm_24"
"154","FC = 0.98, SFT = 0.12","2015-07-25 21:15:00","2015-07-26 09:15:00",7008.91072848933,12.25,572.155977835863,"0.98","0.12","storm_25"
"155","FC = 0.98, SFT = 0.12","2015-07-28 00:45:00","2015-07-29 09:45:00",60355.4608777155,33.25,1815.20183090874,"0.98","0.12","storm_26"
"156","FC = 0.98, SFT = 0.12","2015-07-30 21:30:00","2015-07-31 22:30:00",19131.603450567,25.25,757.687265368991,"0.98","0.12","storm_27"
"157","FC = 0.98, SFT = 0.12","2015-08-11 19:00:00","2015-08-12 22:15:00",16790.9805689275,27.5,610.581111597364,"0.98","0.12","storm_28"
"158","FC = 0.98, SFT = 0.12","2015-09-08 10:30:00","2015-09-09 01:00:00",8299.76425814754,14.75,562.695881908308,"0.98","0.12","storm_29"
"159","FC = 0.98, SFT = 0.12","2015-09-09 10:15:00","2015-09-09 20:00:00",5452.69584996719,10,545.269584996719,"0.98","0.12","storm_30"
"160","FC = 0.98, SFT = 0.12","2015-09-14 11:00:00","2015-09-15 19:30:00",30603.752541345,32.75,934.465726453284,"0.98","0.12","storm_31"
"161","FC = 0.98, SFT = 0.12","2015-09-30 07:45:00","2015-10-02 11:45:00",121043.444228423,52.25,2316.62094217077,"0.98","0.12","storm_32"
"162","FC = 0.98, SFT = 0.12","2015-10-09 21:15:00","2015-10-11 03:15:00",24374.5752515748,30.25,805.771082696688,"0.98","0.12","storm_33"
"163","FC = 0.98, SFT = 0.12","2015-10-28 21:00:00","2015-10-31 07:00:00",181058.012232079,58.25,3108.29205548633,"0.98","0.12","storm_34"
"164","FC = 0.98, SFT = 0.12","2015-11-01 20:00:00","2015-11-02 19:00:00",13255.9770141408,23.25,570.149548995303,"0.98","0.12","storm_35"
"165","FC = 0.98, SFT = 0.12","2015-11-13 08:45:00","2015-11-15 23:15:00",103711.307656998,62.75,1652.76984313942,"0.98","0.12","storm_36"
"166","FC = 0.98, SFT = 0.12","2015-11-20 01:30:00","2015-11-20 14:30:00",87791.9761666212,13.25,6625.80952200914,"0.98","0.12","storm_37"
