"","storm_id","start","end","tot_q_m3","tot_constit_mgN","duration_hrs","intensity_m3_hr"
"58","storm_60","2018-11-13 10:15:00","2018-11-15 02:30:00",129879,659236797,40.5,3206.88888888889
"59","storm_61","2018-11-25 06:30:00","2018-11-29 09:30:00",674667.9,3228334872.3,99.25,6797.66146095718
"60","storm_63","2015-04-09 11:30:00","2015-04-12 11:45:00",507791.7,868735771.2,72.5,7004.02344827586
"61","storm_64","2015-04-12 14:15:00","2015-04-13 12:00:00",108020.7,184770803.7,22,4910.03181818182
"62","storm_65","2015-04-13 12:15:00","2015-04-16 12:45:00",385111.8,620484921.9,72.75,5293.63298969072
"63","storm_66","2014-07-03 17:15:00","2014-07-05 23:45:00",33880.5,48310457.4,54.75,618.821917808219
"64","storm_67","2015-04-20 08:30:00","2015-04-21 06:00:00",104041.8,160691497.2,21.75,4783.53103448276
"65","storm_68","2015-04-21 06:15:00","2015-04-22 09:45:00",191727.9,337394845.8,27.75,6909.11351351351
"66","storm_69","2015-04-22 16:30:00","2015-04-23 22:30:00",213128.1,454823937.9,30.25,7045.55702479339
"67","storm_70","2015-04-27 02:30:00","2015-04-30 10:00:00",245109.6,462740220.9,79.75,3073.47460815047
"68","storm_71","2015-05-04 22:45:00","2015-05-06 10:15:00",51906.6,60424718.4,35.75,1451.93286713287
"69","storm_72","2015-05-11 08:45:00","2015-05-15 09:30:00",146158.2,119108019.6,97,1506.78556701031
"70","storm_73","2015-05-27 11:30:00","2015-05-28 14:00:00",31812.3,73052889.3,26.75,1189.24485981308
"71","storm_74","2015-05-30 18:45:00","2015-06-01 01:00:00",144607.5,448234337.7,30.5,4741.22950819672
"72","storm_75","2015-06-01 01:15:00","2015-06-03 11:00:00",508643.1,3513692364.3,58,8769.70862068965
"73","storm_76","2015-06-05 20:00:00","2015-06-07 17:45:00",82898.1,329790317.4,46,1802.13260869565
"74","storm_77","2014-07-06 01:45:00","2014-07-06 19:45:00",11775.6,17625292.2,18.25,645.238356164384
"75","storm_78","2015-06-09 04:30:00","2015-06-11 02:30:00",610963.2,2253149037,46.25,13210.0151351351
