"","run_id","start","end","tot_q_m3","duration_hrs","intensity_m3_hr","filter_para","sf_thresh","storm_id","water_yield_mm","constit_yield_mm"
"54","FC = 0.996, SFT = 0.098",2016-04-26,"2016-04-27 09:15:00",12042.5818401424,21.75,553.681923684707,0.996,"0.098","storm_54",0.250365526822087,0.250365526822087
"55","FC = 0.996, SFT = 0.098",2016-05-02,"2016-05-03 15:45:00",25773.5142043008,26.75,963.495858104704,0.996,"0.098","storm_55",0.53583189613931,0.53583189613931
"56","FC = 0.996, SFT = 0.098",2016-05-08,"2016-05-09 10:15:00",21000.8412337979,25.25,831.716484506847,0.996,"0.098","storm_56",0.436607925858584,0.436607925858584
"57","FC = 0.996, SFT = 0.098",2016-05-15,"2016-05-15 11:45:00",4230.51948771686,9.5,445.317840812301,0.996,"0.098","storm_57",0.0879525881022215,0.0879525881022215
"58","FC = 0.996, SFT = 0.098",2016-05-29,"2016-05-30 06:00:00",5424.59157905798,9.75,556.36836708287,0.996,"0.098","storm_58",0.112777371705987,0.112777371705987
"59","FC = 0.996, SFT = 0.098",2016-06-05,"2016-06-06 16:15:00",45425.9032237964,27.5,1651.85102631987,0.996,"0.098","storm_59",0.944405472428199,0.944405472428199
"60","FC = 0.996, SFT = 0.098",2016-07-10,"2016-07-10 15:15:00",4330.4020737705,8.75,494.9030941452,0.996,"0.098","storm_60",0.0900291491428379,0.0900291491428379
"61","FC = 0.996, SFT = 0.098",2016-07-14,"2016-07-15 00:15:00",3467.11520730968,7,495.302172472812,0.996,"0.098","storm_61",0.0720813972413655,0.0720813972413655
"62","FC = 0.996, SFT = 0.098",2016-07-23,"2016-07-24 03:15:00",1977.28593049376,4.75,416.270722209212,0.996,"0.098","storm_62",0.0411078156027808,0.0411078156027808
"63","FC = 0.996, SFT = 0.098",2016-08-16,"2016-08-17 13:00:00",11130.3537236552,15.25,729.859260567553,0.996,"0.098","storm_63",0.231400285315076,0.231400285315076
"64","FC = 0.996, SFT = 0.098",2016-10-22,"2016-10-23 16:15:00",28840.0904793181,32.25,894.266371451725,0.996,"0.098","storm_64",0.599586080651105,0.599586080651105
"65","FC = 0.996, SFT = 0.098",2016-10-29,"2016-10-29 21:30:00",4595.2936335999,9.25,496.788500929719,0.996,"0.098","storm_65",0.095536250178792,0.095536250178792
"66","FC = 0.996, SFT = 0.098",2016-11-03,"2016-11-04 09:45:00",10910.7318435844,19.5,559.524709927407,0.996,"0.098","storm_66",0.226834341862462,0.226834341862462
"67","FC = 0.996, SFT = 0.098",2016-11-20,"2016-11-22 01:45:00",26712.2002716776,40.25,663.657149606896,0.996,"0.098","storm_67",0.555347198995375,0.555347198995375
"68","FC = 0.996, SFT = 0.098",2016-11-30,"2016-12-02 01:45:00",11044.6934599901,14.25,775.0662077186,0.996,"0.098","storm_68",0.2296194066526,0.2296194066526
"69","FC = 0.996, SFT = 0.098",2016-12-02,"2018-04-21 10:30:00",426195.596593801,188.25,2263.987232902,0.996,"0.098","storm_69",8.86061531380043,8.86061531380043
"70","FC = 0.996, SFT = 0.098",2018-04-21,"2018-04-22 08:30:00",5274.72334412652,10.5,502.354604202525,0.996,"0.098","storm_70",0.109661607985998,0.109661607985998
