"","run_id","start","end","tot_q_m3","tot_constit_mgN","duration_hrs","intensity_m3_hr","filter_para","sf_thresh","storm_id","water_yield_mm","constit_yield_mm"
"29","FC = 0.996, SFT = 0.098","2015-05-10 16:15:00","2015-05-15 04:45:00",305769.214033956,42478672.9505368,108.75,2811.67093364557,0.996,"0.098","storm_29",18.3095337744884,2.54363311081059
"30","FC = 0.996, SFT = 0.098","2015-05-16 21:30:00","2015-05-18 09:30:00",36150.6772094007,6007294.34602776,36.25,997.260060948984,0.996,"0.098","storm_30",2.16471121014375,0.35971822431304
"31","FC = 0.996, SFT = 0.098","2015-05-27 15:15:00","2015-05-30 14:00:00",425056.37262222,49552028.3926064,71,5986.7094735524,0.996,"0.098","storm_31",25.4524774025281,2.96718732889859
"32","FC = 0.996, SFT = 0.098","2015-05-30 22:30:00","2015-06-05 01:30:00",535652.430526418,35576675.9125364,123.25,4346.06434504193,0.996,"0.098","storm_32",32.0749958399053,2.13033987500218
"33","FC = 0.996, SFT = 0.098","2015-06-05 20:45:00","2015-06-07 06:30:00",54483.3557476126,6688504.86389728,34,1602.45163963566,0.996,"0.098","storm_33",3.26247639207261,0.400509273287262
"34","FC = 0.996, SFT = 0.098","2015-06-08 08:30:00","2015-06-12 10:00:00",506616.049709,20414279.020854,97.75,5182.77288704859,0.996,"0.098","storm_34",30.3362904017365,1.22241191741641
"35","FC = 0.996, SFT = 0.098","2015-06-12 18:00:00","2015-06-15 15:45:00",350970.747199283,14742136.8963053,70,5013.86781713261,0.996,"0.098","storm_35",21.0162124071427,0.882762688401516
"36","FC = 0.996, SFT = 0.098","2015-06-16 12:00:00","2015-06-18 10:45:00",129856.530135588,11972062.0319525,47,2762.90489650188,0.996,"0.098","storm_36",7.77584012787954,0.716889942033087
"37","FC = 0.996, SFT = 0.098","2015-06-18 23:30:00","2015-06-20 00:30:00",35370.3915080769,4725286.1062147,25.25,1400.80758447829,0.996,"0.098","storm_37",2.11798751545371,0.282951263845191
"38","FC = 0.996, SFT = 0.098","2015-06-21 03:30:00","2015-06-25 16:00:00",367825.38204789,23126920.1775675,108.75,3382.30236365876,0.996,"0.098","storm_38",22.0254719789155,1.38484551961482
"39","FC = 0.996, SFT = 0.098","2015-06-28 06:15:00","2015-06-30 12:15:00",82441.7679464646,11168401.3068417,54.25,1519.66392528045,0.996,"0.098","storm_39",4.93663281116554,0.66876654531986
"40","FC = 0.996, SFT = 0.098","2015-07-01 12:00:00","2015-07-03 12:45:00",147954.255350718,11029940.9800765,49,3019.47459899424,0.996,"0.098","storm_40",8.85953624854597,0.660475507789011
"41","FC = 0.996, SFT = 0.098","2015-07-04 18:45:00","2015-07-05 20:30:00",50132.8822824898,7453276.25695768,26,1928.18778009576,0.996,"0.098","storm_41",3.00196899895149,0.446303967482496
"42","FC = 0.996, SFT = 0.098","2015-07-08 05:00:00","2015-07-10 12:15:00",125993.617178984,14619148.9624548,55.5,2270.1552644862,0.996,"0.098","storm_42",7.54452797478947,0.87539814146436
"43","FC = 0.996, SFT = 0.098","2015-07-15 01:30:00","2015-07-16 15:15:00",131936.038563477,17478709.9845012,38,3472.00101482834,0.996,"0.098","storm_43",7.90036159062737,1.04662934038929
"44","FC = 0.996, SFT = 0.098","2015-07-18 05:45:00","2015-07-21 10:45:00",429954.340740249,27151441.2477517,77.25,5565.75198369254,0.996,"0.098","storm_44",25.7457689066017,1.6258348052546
"45","FC = 0.996, SFT = 0.098","2015-07-21 14:45:00","2015-07-25 14:00:00",295360.717167077,21100006.9426373,95.5,3092.78237871285,0.996,"0.098","storm_45",17.6862704890466,1.263473469619
"46","FC = 0.996, SFT = 0.098","2015-07-26 11:15:00","2015-07-26 16:00:00",2002.88674996742,351058.14551796,5,400.577349993484,0.996,"0.098","storm_46",0.119933338321402,0.0210214458393988
"47","FC = 0.996, SFT = 0.098","2015-07-28 00:15:00","2015-07-28 18:45:00",30759.4130361506,5291660.22244912,18.75,1640.5020285947,0.996,"0.098","storm_47",1.84188102012878,0.31686588158378
"48","FC = 0.996, SFT = 0.098","2015-07-30 15:30:00","2015-07-31 07:15:00",11012.9058315538,2547593.00820558,16,688.306614472112,0.996,"0.098","storm_48",0.659455439015197,0.152550479533268
"49","FC = 0.996, SFT = 0.098","2015-08-01 12:45:00","2015-08-02 09:00:00",15836.7072036397,3262600.08727585,20.5,772.522302616569,0.996,"0.098","storm_49",0.948305820577225,0.195365274687177
"50","FC = 0.996, SFT = 0.098","2015-08-03 15:15:00","2015-08-07 23:15:00",271650.681894375,34648175.9819705,104.25,2605.76193663669,0.996,"0.098","storm_50",16.2665078978668,2.0747410767647
"51","FC = 0.996, SFT = 0.098","2015-08-11 10:15:00","2015-08-17 10:00:00",511113.84891831,43747194.328843,144,3549.40172859937,0.996,"0.098","storm_51",30.6056196957072,2.61959247478102
"52","FC = 0.996, SFT = 0.098","2015-09-13 23:30:00","2015-09-16 05:45:00",197530.269330155,3363850.87800898,54.5,3624.40861156247,0.996,"0.098","storm_52",11.828159840129,0.201428196287963
"53","FC = 0.996, SFT = 0.098","2015-09-20 04:30:00","2015-09-20 13:15:00",4515.09016041978,519280.111235905,9,501.676684491087,0.996,"0.098","storm_53",0.270364680264658,0.0310946174392758
"54","FC = 0.996, SFT = 0.098","2015-09-29 11:45:00","2015-10-03 04:30:00",285610.587539148,5618375.50633942,67,4262.84459013654,0.996,"0.098","storm_54",17.1024303915658,0.336429671038289
"55","FC = 0.996, SFT = 0.098","2015-10-09 11:15:00","2015-10-11 10:30:00",88668.4243950893,770122.903049758,47.5,1866.70367147556,0.996,"0.098","storm_55",5.30948649072391,0.0461151438951951
"56","FC = 0.996, SFT = 0.098","2015-10-14 11:00:00","2015-10-15 07:15:00",16700.0645708345,0,20.5,814.637296138268,0.996,"0.098","storm_56",1.00000386651704,0
