"","run_id","start","end","tot_q_m3","duration_hrs","intensity_m3_hr","filter_para","sf_thresh","storm_id","water_yield_mm"
"55","FC = 0.996, SFT = 0.098",2016-05-15,"2016-05-16 13:30:00",18564.674658583,32.25,575.648826622729,0.996,"0.098","storm_55",0.385959972111913
"56","FC = 0.996, SFT = 0.098",2016-05-29,"2016-05-31 23:30:00",130830.275274876,54.5,2400.55550963076,0.996,"0.098","storm_56",2.71996414292883
"57","FC = 0.996, SFT = 0.098",2016-06-05,"2016-06-08 17:15:00",132107.403652966,70.75,1867.24245445889,0.996,"0.098","storm_57",2.74651566846084
"58","FC = 0.996, SFT = 0.098",2016-06-28,"2016-06-29 06:15:00",4082.18271552569,9.75,418.685406720584,0.996,"0.098","storm_58",0.0848686635244427
"59","FC = 0.996, SFT = 0.098",2016-07-14,"2016-07-15 12:45:00",13279.9955638996,19.5,681.025413533312,0.996,"0.098","storm_59",0.276091383864856
"60","FC = 0.996, SFT = 0.098",2016-07-18,"2016-07-19 03:00:00",8095.16049653242,12,674.596708044368,0.996,"0.098","storm_60",0.168298555021464
"61","FC = 0.996, SFT = 0.098",2016-07-23,"2016-07-24 21:45:00",20526.7417729748,29,707.818681826719,0.996,"0.098","storm_61",0.426751388211535
"62","FC = 0.996, SFT = 0.098",2016-08-13,"2016-08-15 07:45:00",31238.6596288872,42,743.777610211601,0.996,"0.098","storm_62",0.649452383136949
"63","FC = 0.996, SFT = 0.098",2016-08-17,"2016-08-18 08:30:00",20707.6504848048,31.75,652.209464088341,0.996,"0.098","storm_63",0.430512484091576
"64","FC = 0.996, SFT = 0.098",2016-08-21,"2016-08-23 14:00:00",52900.8975893948,41.25,1282.44600216715,0.996,"0.098","storm_64",1.09981076069428
"65","FC = 0.996, SFT = 0.098",2016-08-28,"2016-08-31 02:45:00",158140.639663324,52.75,2997.92681826207,0.996,"0.098","storm_65",3.2877471863477
"66","FC = 0.996, SFT = 0.098",2016-08-31,"2016-09-04 03:00:00",263365.842721309,83.25,3163.55366632203,0.996,"0.098","storm_66",5.47538134555736
"67","FC = 0.996, SFT = 0.098",2016-09-09,"2016-09-09 19:00:00",3507.67792387736,8.25,425.173081682104,0.996,"0.098","storm_67",0.0729246969621072
"68","FC = 0.996, SFT = 0.098",2016-09-11,"2016-09-13 04:00:00",72173.5480752262,45.75,1577.56389235467,0.996,"0.098","storm_68",1.50048956497352
"69","FC = 0.996, SFT = 0.098",2016-09-19,"2016-09-21 19:45:00",124389.267839809,60.5,2056.02095602991,0.996,"0.098","storm_69",2.5860554644451
"70","FC = 0.996, SFT = 0.098",2016-09-23,"2016-09-25 15:00:00",69902.4696958182,50,1398.04939391636,0.996,"0.098","storm_70",1.45327379824986
"71","FC = 0.996, SFT = 0.098",2016-10-21,"2016-11-01 10:30:00",850342.006889776,150,5668.9467125985,0.996,"0.098","storm_71",17.6786280018664
"72","FC = 0.996, SFT = 0.098",2016-11-03,"2016-11-08 09:30:00",212049.832890599,102.5,2068.77885746926,0.996,"0.098","storm_72",4.40852043431598
"73","FC = 0.996, SFT = 0.098",2016-11-08,"2016-11-08 20:15:00",1931.69424399539,5.25,367.941760761028,0.996,"0.098","storm_73",0.0401599634926278
"74","FC = 0.996, SFT = 0.098",2016-11-11,"2016-11-12 06:00:00",9368.13629598687,18.75,499.633935785966,0.996,"0.098","storm_74",0.194763748357315
"75","FC = 0.996, SFT = 0.098",2016-11-16,"2016-11-18 05:15:00",19204.8745288152,40.25,477.139739846342,0.996,"0.098","storm_75",0.39926974072381
"76","FC = 0.996, SFT = 0.098",2017-05-22,"2017-05-28 08:15:00",304154.499003758,148,2055.09796624161,0.996,"0.098","storm_76",6.32337835766648
"77","FC = 0.996, SFT = 0.098",2017-05-28,"2017-05-28 15:15:00",2026.25638066904,5,405.251276133809,0.996,"0.098","storm_77",0.0421259122800217
"78","FC = 0.996, SFT = 0.098",2017-05-28,"2017-05-28 22:15:00",2531.44866606869,6.5,389.453640933645,0.996,"0.098","storm_78",0.0526288703964385
"79","FC = 0.996, SFT = 0.098",2017-05-29,"2017-06-01 07:45:00",47260.5985165003,61.75,765.353822129559,0.996,"0.098","storm_79",0.982548825706866
"80","FC = 0.996, SFT = 0.098",2017-06-03,"2017-06-04 22:15:00",19259.3059906518,33,583.615333050054,0.996,"0.098","storm_80",0.400401371947022
"81","FC = 0.996, SFT = 0.098",2017-06-05,"2017-06-13 04:45:00",335734.465196881,176.25,1904.87639828018,0.996,"0.098","storm_81",6.97992651136967
"82","FC = 0.996, SFT = 0.098",2017-06-16,"2017-06-17 13:00:00",12107.0325901879,26.5,456.869154346714,0.996,"0.098","storm_82",0.251705459255466
"83","FC = 0.996, SFT = 0.098",2017-06-19,"2017-06-22 08:45:00",107141.748961179,68.75,1558.42543943533,0.996,"0.098","storm_83",2.22747918838209
"84","FC = 0.996, SFT = 0.098",2017-06-23,"2017-06-29 08:30:00",947090.304847086,147,6442.79118943596,0.996,"0.098","storm_84",19.6900271277981
"85","FC = 0.996, SFT = 0.098",2017-06-29,"2017-07-06 22:45:00",719153.571309679,170.5,4217.90950914768,0.996,"0.098","storm_85",14.9512176987459
"86","FC = 0.996, SFT = 0.098",2017-07-17,"2017-07-23 03:00:00",168370.379036191,139,1211.29769090785,0.996,"0.098","storm_86",3.50042368058609
"87","FC = 0.996, SFT = 0.098",2017-07-24,"2017-07-30 08:15:00",167473.83029481,135.75,1233.69304084575,0.996,"0.098","storm_87",3.48178441361352
"88","FC = 0.996, SFT = 0.098",2017-07-30,"2017-07-31 04:00:00",6171.76902712091,13.5,457.16807608303,0.996,"0.098","storm_88",0.12831120638505
"89","FC = 0.996, SFT = 0.098",2017-07-31,"2017-08-01 01:45:00",3468.0923111373,8.25,420.374825592401,0.996,"0.098","storm_89",0.0721017112502558
"90","FC = 0.996, SFT = 0.098",2017-08-01,"2017-08-02",1935.77744901668,5,387.155489803336,0.996,"0.098","storm_90",0.0402448534099102
"91","FC = 0.996, SFT = 0.098",2017-08-03,"2017-08-04 03:15:00",3712.26011146553,9.25,401.325417455733,0.996,"0.098","storm_91",0.0771779648953334
"92","FC = 0.996, SFT = 0.098",2017-08-05,"2017-08-14 08:30:00",25899.0425295946,42.5,609.389235990461,0.996,"0.098","storm_92",0.538441632631904
"93","FC = 0.996, SFT = 0.098",2017-08-15,"2017-08-17 03:45:00",27504.8498511673,34.5,797.242024671516,0.996,"0.098","storm_93",0.571826400232169
"94","FC = 0.996, SFT = 0.098",2017-08-17,"2017-08-18 03:45:00",3082.34991274857,6.5,474.207678884395,0.996,"0.098","storm_94",0.0640821187681615
"95","FC = 0.996, SFT = 0.098",2017-08-18,"2017-08-21 16:00:00",123866.482366912,80.25,1543.50756843504,0.996,"0.098","storm_95",2.57518674359484
"96","FC = 0.996, SFT = 0.098",2017-08-22,"2017-08-26 08:15:00",76264.7307085694,77.75,980.896857988031,0.996,"0.098","storm_96",1.58554533697649
"97","FC = 0.996, SFT = 0.098",2017-08-26,"2017-08-27 07:45:00",6590.33565382915,15.25,432.153157628141,0.996,"0.098","storm_97",0.137013215256323
"98","FC = 0.996, SFT = 0.098",2017-09-14,"2017-09-15 08:30:00",8669.49499705711,19.5,444.58948702857,0.996,"0.098","storm_98",0.180238981227799
"99","FC = 0.996, SFT = 0.098",2017-09-15,"2017-09-16 05:15:00",4911.66928022691,11.5,427.10167654147,0.996,"0.098","storm_99",0.102113706449624
