"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-12-06","10.07",,"0.21","0.0","0.0","40","53","30","  300","  300","25.1","36.9","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-12-07","10.74",,"0.00","0.0","0.0","36","40","25","  260","  280","25.1","34.0",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-12-08","2.91",,"0.08","1.6","0.0","25","28","22","   20","   50","8.9","13.0","    1",,,,,,"    1",
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-12-09","4.92",,"0.03","0.5","2.0","24","25","18","   10","   10","13.0","17.0","    1",,,,,,"    1","    1"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-12-10","8.05",,"0.02","0.2","2.0","28","40","19","  190","  190","23.0","32.0","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-12-11","15.88",,"0.29","0.0","1.2","41","56","33","  180","  200","31.1","44.1","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-12-12","13.42",,"0.00","0.0","0.0","44","46","36","  260","  250","31.1","42.1",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-12-13","11.41",,"0.00","0.0","0.0","41","49","37","  280","  270","18.1","30.0",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-12-14","7.83",,"0.00","0.0","0.0","40","46","23","  340","  330","23.9","31.1",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-12-15","8.95",,"0.05","0.0","0.0","31","43","23","  180","  180","23.0","34.0","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-12-16","16.78",,"0.13","0.0","0.0","49","61","43","  190","  180","28.0","38.9","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-12-17","15.66",,"0.00","0.0","0.0","51","60","36","  270","  280","30.0","46.1",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-12-18","5.82",,"0.48","4.6","0.0","32","36","27","  350","   10","15.0","21.0","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-12-19","11.41",,"0.03","0.7","5.1","25","27","18","  350","  340","19.9","21.9","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-12-20","10.74",,"0.00","0.0","5.1","20","30","15","  200","  200","28.0","35.1",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-12-21","8.72",,"0.00","0.0","5.1","32","37","23","  190","  190","21.0","31.1",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-12-22","10.74",,"0.00","0.0","5.1","31","38","22","  300","  300","23.9","35.1",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-12-23","7.61",,"0.00","0.0","3.9","20","22","10","  350","  310","17.0","19.9",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-12-24","4.70",,"0.00","0.0","3.9","18","29","12","  190","  170","10.1","12.1",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-12-25","7.16",,"0.12","0.0","3.9","28","33","25","  360","  130","13.0","15.0","    1",,,,,"    1",,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-12-26","6.04",,"0.04","0.9","3.9","27","31","24","  340","  350","18.1","23.9","    1",,,,,"    1",,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-12-27","5.59",,"0.00","0.0","5.1","26","29","22","  340","  310","17.0","19.0",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-12-28","7.16",,"0.03","0.2","3.9","30","37","25","  190","  180","21.0","25.9","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-12-29","1.79",,"0.00","0.0","3.9","31","33","29","  320","  320","8.1","10.1","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-12-30","1.79",,"0.00","0.0","3.9","33","40","29","  340","  320","8.1","8.9","    1",,,,,"    1",,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-12-31","3.58",,"0.04","0.4","3.9","33","38","31","  200","  180","8.1","10.1","    1","    1",,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-01","7.61",,"0.01","0.0","3.1","38","45","32","  350","  350","17.0","19.9","    1","    1",,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-02","10.96",,"0.14","2.4","3.1","27","34","13","   10","   20","17.0","23.9","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-03","6.04",,"0.00","0.0","3.9","11","13","0","   30","   30","14.1","18.1",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-04","9.62",,"0.00","0.0","3.9","10","29","-1","  200","  210","19.9","25.9","    1",,,,,,"    1",
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-05","16.33",,"0.00","0.0","3.1","31","38","28","  200","  200","30.0","40.0",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-06","7.61",,"0.00","0.0","3.1","35","37","27","  260","  250","17.0","23.0",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-07","9.62",,"0.09","1.7","2.0","25","27","12","  340","  310","21.0","28.0","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-08","6.71",,"0.00","0.0","3.9","12","21","3","  170","  170","21.0","30.0",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-09","20.36",,"0.03","0.2","3.1","26","38","20","  200","  190","32.0","40.9","    1",,,,,"    1","    1","    1"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-10","12.53",,"0.00","0.1","2.0","23","29","5","  300","  290","28.0","40.0",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-11","7.83",,"0.00","0.0","2.0","1","7","-6","  350","  340","23.9","29.1",,,,,,,"    1",
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-12","16.55",,"0.00","0.0","2.0","13","27","7","  200","  200","33.1","45.0",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-13","2.91",,"0.00","0.2","2.0","27","32","23","  320","  320","10.1","12.1","    1",,,,,,"    1",
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-14","13.87",,"0.04","0.6","3.1","20","24","-3","   10","   30","25.9","36.0","    1",,,,,,"    1",
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-15","10.07",,"0.00","0.0","3.1","-4","0","-9","   10","   10","23.0","29.1",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-16","5.59",,"0.00","0.0","3.1","0","22","-11","  170","  180","14.1","17.0",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-17","8.50",,"0.57","8.1","3.9","24","30","19","  120","  130","23.9","33.1","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2022-01-18","11.18",,"0.00","0.1","9.1","19","24","-6","  330","  300","23.9","31.1",,,,,,,,"    1"
