"timestamp","q_cms","X","Timestamp","sC"
2022-01-02 06:17:00,2.206030801,122,"2022-01-02 06:17:00",528.01
2022-01-02 06:32:00,2.199526216,123,"2022-01-02 06:32:00",527.83
2022-01-02 06:47:00,2.193032478,124,"2022-01-02 06:47:00",527.55
2022-01-02 07:02:00,2.167165931,125,"2022-01-02 07:02:00",527.09
2022-01-02 07:17:00,2.141472625,126,"2022-01-02 07:17:00",526.01
2022-01-02 07:32:00,2.160726373,127,"2022-01-02 07:32:00",524.91
2022-01-02 07:47:00,2.154297639,128,"2022-01-02 07:47:00",523.76
2022-01-02 08:02:00,2.141472625,129,"2022-01-02 08:02:00",522.9
2022-01-02 08:17:00,2.135076336,130,"2022-01-02 08:17:00",522.24
2022-01-02 08:32:00,2.115952292,131,"2022-01-02 08:32:00",521.94
2022-01-02 08:47:00,2.115952292,132,"2022-01-02 08:47:00",521.88
2022-01-02 09:02:00,2.090604664,133,"2022-01-02 09:02:00",521.87
2022-01-02 09:17:00,2.090604664,134,"2022-01-02 09:17:00",522.02
2022-01-02 09:32:00,2.065429471,135,"2022-01-02 09:32:00",522.36
2022-01-02 09:47:00,2.052906453,136,"2022-01-02 09:47:00",522.76
2022-01-02 10:02:00,2.059162584,137,"2022-01-02 10:02:00",523.43
2022-01-02 10:17:00,2.040426442,138,"2022-01-02 10:17:00",523.96
2022-01-02 10:32:00,2.034202553,139,"2022-01-02 10:32:00",524.39
2022-01-02 10:47:00,2.003244109,140,"2022-01-02 10:47:00",524.66
2022-01-02 11:02:00,2.015595304,141,"2022-01-02 11:02:00",525.08
2022-01-02 11:17:00,2.015595304,142,"2022-01-02 11:17:00",525.32
2022-01-02 11:32:00,2.009414345,143,"2022-01-02 11:32:00",525.31
2022-01-02 11:47:00,1.984797688,144,"2022-01-02 11:47:00",525.29
2022-01-02 12:02:00,1.978670296,145,"2022-01-02 12:02:00",525.13
2022-01-02 12:17:00,1.978670296,146,"2022-01-02 12:17:00",525.01
2022-01-02 12:32:00,1.972553604,147,"2022-01-02 12:32:00",524.69
2022-01-02 12:47:00,1.978670296,148,"2022-01-02 12:47:00",524.3
2022-01-02 13:02:00,1.95426769,149,"2022-01-02 13:02:00",524.09
2022-01-02 13:17:00,1.95426769,150,"2022-01-02 13:17:00",523.87
