"","Timestamp","Temperature.SoilTemp_15cm@WW_pit5","Temperature.SoilTemp_30cm@WW_pit5","Temperature.SoilTemp_45cm@WW_pit5","Temperature.SoilTemp_60cm@WW_pit5"
"141",2021-10-03 23:00:00,11.5,0,11.5,11.6
"142",2021-10-03 23:30:00,11.5,0,11.5,11.6
"143",2021-10-04 00:00:00,11.5,0,11.6,11.6
"144",2021-10-04 00:30:00,11.5,0,11.5,11.6
"145",2021-10-04 01:00:00,11.5,0,11.6,11.6
"146",2021-10-04 01:30:00,11.5,0,11.6,11.6
"147",2021-10-04 02:00:00,11.5,0,11.5,11.6
"148",2021-10-04 02:30:00,11.5,0,11.6,11.6
"149",2021-10-04 03:00:00,11.5,0,11.5,11.6
"150",2021-10-04 03:30:00,11.6,0,11.6,11.6
"151",2021-10-04 04:00:00,11.6,0,11.6,11.6
"152",2021-10-04 04:30:00,11.6,0,11.6,11.5
"153",2021-10-04 05:00:00,11.6,0,11.6,11.5
"154",2021-10-04 05:30:00,11.6,0,11.6,11.6
"155",2021-10-04 06:00:00,11.6,0,11.6,11.6
"156",2021-10-04 06:30:00,11.6,0,11.6,11.6
"157",2021-10-04 07:00:00,11.6,0,11.6,11.6
"158",2021-10-04 07:30:00,11.6,0,11.6,11.6
"159",2021-10-04 08:00:00,11.6,0,11.6,11.5
"160",2021-10-04 08:30:00,11.6,0,11.6,11.5
"161",2021-10-04 09:00:00,11.6,0,11.6,11.5
"162",2021-10-04 09:30:00,11.6,0,11.6,11.6
"163",2021-10-04 10:00:00,11.6,0,11.6,11.6
"164",2021-10-04 10:30:00,11.6,0,11.6,11.6
"165",2021-10-04 11:00:00,11.6,0,11.6,11.6
"166",2021-10-04 11:30:00,11.6,0,11.6,11.5
"167",2021-10-04 12:00:00,11.7,0,11.6,11.5
"168",2021-10-04 12:30:00,11.6,0,11.6,11.5
"169",2021-10-04 13:00:00,11.7,0,11.6,11.5
"170",2021-10-04 13:30:00,11.7,0,11.6,11.5
"171",2021-10-04 14:00:00,11.8,0,11.6,11.5
"172",2021-10-04 14:30:00,11.8,0,11.6,11.5
"173",2021-10-04 15:00:00,11.8,0,11.6,11.5
"174",2021-10-04 15:30:00,11.8,0,11.6,11.5
"175",2021-10-04 16:00:00,11.8,0,11.6,11.5
"176",2021-10-04 16:30:00,11.8,0,11.6,11.5
"177",2021-10-04 17:00:00,11.9,0,11.6,11.5
"178",2021-10-04 17:30:00,11.9,0,11.6,11.5
"179",2021-10-04 18:00:00,11.9,0,11.6,11.6
"180",2021-10-04 18:30:00,11.9,0,11.6,11.6
